,Rank,Username,Battle Rating,Offense,Defense,BR Per Win
1,1,powerred21,"3,369,600",530/530,2/20,"6,333.83"
2,2,VJAY_,"2,505,350",319/319,4/13,"7,756.50"
3,3,vTogoated,"2,100,800",348/410,4/21,"5,968.18"
4,4,BatBoy9235,"2,095,930",371/371,3/22,"5,604.09"
5,5,Y7,"2,007,680",269/273,4/59,"7,354.14"
6,6,Raimis,"1,978,900",250/250,10/72,"7,611.15"
7,7,Predatoria,"1,865,800",250/250,2/91,"7,403.97"
8,8,scv,"1,810,670",273/295,6/32,"6,489.86"
9,9,ZenXi,"1,648,600",213/213,6/33,"7,527.85"
10,10,vencesl1,"1,544,300",205/205,5/17,"7,353.81"
11,11,GAMEOVER52,"1,532,200",224/234,3/8,"6,749.78"
12,12,NozxNos,"1,440,490",232/232,4/16,"6,103.77"
13,13,megaDEth,"1,407,850",200/201,3/29,"6,935.22"
14,14,kamalo222,"1,380,150",257/259,1/42,"5,349.42"
15,15,AndrewLyle,"1,351,860",217/218,2/7,"6,172.88"
16,16,whatthewha,"1,336,560",171/172,4/24,"7,637.49"
17,17,rondimao,"1,300,700",258/286,0/43,"5,041.47"
18,18,09Elements,"1,300,240",168/169,9/13,"7,345.99"
19,19,Fdaddy,"1,269,750",148/151,9/36,"8,087.58"
20,20,Boyfie,"1,251,700",176/186,4/24,"6,953.89"
21,21,theflosh,"1,251,580",199/199,5/18,"6,135.20"
22,22,tatsuvius,"1,246,200",179/190,2/51,"6,885.08"
23,23,DiAngeL,"1,231,300",170/170,9/16,"6,878.77"
24,24,Rated..R,"1,210,400",238/238,1/91,"5,064.44"
25,25,ItzNova,"1,210,350",204/204,0/32,"5,933.09"
26,26,Jeisengard,"1,207,920",186/186,10/13,"6,162.86"
27,27,roberto096,"1,203,960",155/155,15/25,"7,082.12"
28,28,theAVENGER,"1,196,350",219/221,2/40,"5,413.35"
29,29,ZenXuen,"1,194,300",161/174,2/23,"7,326.99"
30,30,ttwlshph,"1,185,980",147/147,0/63,"8,067.89"
31,31,PinkBoYz,"1,175,580",197/212,3/15,"5,877.90"
32,32,maskzz,"1,166,300",179/200,1/26,"6,479.44"
33,33,TaiChiMan,"1,165,040",164/168,1/26,"7,060.85"
34,34,Fourlnwza,"1,118,500",178/183,2/33,"6,213.89"
35,35,flashfoo,"1,115,965",144/144,9/13,"7,293.89"
36,36,sakes,"1,106,860",277/279,2/22,"3,967.24"
37,37,kmlyksl,"1,094,620",149/159,2/21,"7,249.14"
38,38,Donix,"1,092,200",202/202,5/68,"5,276.33"
39,39,Andoomie,"1,079,520",262/262,4/20,"4,058.35"
40,40,laur083e,"1,079,120",498/540,5/45,"2,145.37"
41,41,kil_ler,"1,072,020",314/325,24/57,"3,171.66"
42,42,TheRock94,"1,068,675",158/158,2/12,"6,679.22"
43,43,enikolai,"1,068,150",143/143,8/28,"7,073.84"
44,44,elyesdek,"1,059,140",188/202,8/20,"5,403.78"
45,45,Liuzhiwei9,"1,057,800",151/151,6/63,"6,737.58"
46,46,karanaton,"1,049,420",167/167,7/8,"6,031.15"
47,47,zhangleizi,"1,043,000",180/213,2/18,"5,730.77"
48,48,noah9116,"1,041,200",255/255,0/15,"4,083.14"
49,49,Cway23,"1,038,910",222/222,7/23,"4,536.72"
50,50,pinitoalex,"1,035,850",152/157,3/14,"6,682.90"
51,51,Burton639o,"1,031,950",198/274,1/44,"5,185.68"
52,52,AyOub,"1,025,940",173/183,1/11,"5,896.21"
53,53,vensmiley,"1,018,560",214/236,3/11,"4,693.82"
54,54,frostblack,"1,008,970",156/156,0/20,"6,467.76"
55,55,Migi_,"1,008,725",132/138,4/14,"7,417.10"
56,56,Kdaadou,"1,006,700",120/123,8/19,"7,864.84"
57,57,adamg18,"1,004,950",137/147,6/26,"7,027.62"
